key,en,source
ui.common.ok,"OK","src/UI/AshfallUiHelpers.cs"
ui.common.cancel,"Cancel","src/UI/AshfallUiHelpers.cs"
ui.common.close,"Close","src/UI/AshfallUiHelpers.cs"
ui.common.back,"Back","src/UI/AshfallUiHelpers.cs"
ui.common.confirm,"Confirm","src/UI/AshfallUiHelpers.cs"
ui.common.save,"Save","src/UI/AshfallUiHelpers.cs"
ui.common.apply,"Apply","src/UI/AshfallUiHelpers.cs"
ui.common.reset,"Reset","src/UI/AshfallUiHelpers.cs"
ui.common.enabled,"ENABLED","src/UI/AshfallUiHelpers.cs"
ui.common.disabled,"DISABLED","src/UI/AshfallUiHelpers.cs"
ui.common.active,"ACTIVE","src/UI/AshfallUiHelpers.cs"
ui.common.dormant,"DORMANT","src/UI/AshfallUiHelpers.cs"
ui.common.stable,"STABLE","src/UI/AshfallUiHelpers.cs"
ui.common.critical,"CRITICAL","src/UI/AshfallUiHelpers.cs"
ui.common.warning,"WARNING","src/UI/AshfallUiHelpers.cs"
settings.title,"SYSTEM CONFIGURATION // SETTINGS","src/UI/SettingsPanel.cs"
settings.section.display,"DISPLAY & GRAPHICS","src/UI/SettingsPanel.cs"
settings.section.audio,"AUDIO SIGNALS","src/UI/SettingsPanel.cs"
settings.section.accessibility,"ACCESSIBILITY & READABILITY","src/UI/SettingsPanel.cs"
settings.section.gameplay,"GAMEPLAY PROTOCOLS","src/UI/SettingsPanel.cs"
settings.section.language,"LANGUAGE & LOCALIZATION","src/UI/SettingsPanel.cs"
settings.display.window_mode,"Window Mode","src/UI/SettingsPanel.cs"
settings.display.resolution,"Resolution Preset","src/UI/SettingsPanel.cs"
settings.display.ui_scale,"Interface Scale","src/UI/SettingsPanel.cs"
settings.display.vsync,"Vertical Sync","src/UI/SettingsPanel.cs"
settings.display.max_fps,"Frame Rate Cap","src/UI/SettingsPanel.cs"
settings.audio.mute_all,"Mute All Audio","src/UI/SettingsPanel.cs"
settings.audio.master,"Master Volume","src/UI/SettingsPanel.cs"
settings.audio.music,"Music / Ambience Score","src/UI/SettingsPanel.cs"
settings.audio.sfx,"Sound Effects / Machinery","src/UI/SettingsPanel.cs"
settings.audio.radio,"Radio Receiver / Transmissions","src/UI/SettingsPanel.cs"
